18732	
	(0.7275889122,0.0199934518)	(0.7313575644,0.001306051624)	(0.7345684061,-0.0163856881)	(0.737121539,-0.03300629648)	(0.7393783101,-0.04849227214)
	(0.7408814295,-0.06270763165)	(0.7421535064,-0.07567379392)	(0.7433422568,-0.08732382489)	(0.7441113938,-0.09750490971)	(0.7447107769,-0.1062178612)
	(0.7450290497,-0.1133463691)	(0.7460188088,-0.119172169)	(0.7460567091,-0.1231523838)	(0.7465969133,-0.1257300663)	(0.7480173565,-0.1261502955)
	(0.7485441318,-0.123877899)	(0.7492827634,-0.1200836397)	(0.7503442462,-0.1148026338)	(0.7506318671,-0.1077363017)	(0.7511735956,-0.09924992381)
	(0.7518445141,-0.08936640324)	(0.7521491078,-0.0779713662)	(0.7517932835,-0.06503028665)	(0.7515843658,-0.05091812713)	(0.7508052277,-0.03546693153)
	(0.7497254605,-0.01886775894)	(0.7479301117,-0.001077874724)	(0.745336967,0.01778358898)	(0.7422831288,0.03763991023)	(0.7380861895,0.05835808316)
	(0.7331607698,0.07985441133)	(0.7270766434,0.1020360678)	(0.7199547308,0.1248026136)	(0.711597706,0.1480199506)	(0.7021359297,0.1715739121)
	(0.6915865669,0.1953736708)	(0.6794649902,0.2191837527)	(0.6660561911,0.2429847447)	(0.6511802468,0.2666478822)	(0.6353091716,0.2902212429)
	(0.6167470799,0.3128058228)	(0.5978848979,0.3353938563)	(0.577472965,0.3572051069)	(0.5550624322,0.3780057286)	(0.5312687441,0.3977798456)
	(0.5063628728,0.4167661727)	(0.4799379475,0.434359935)	(0.4522828472,0.4507898378)	(0.4232178827,0.465606986)	(0.3929254491,0.4787951361)
	(0.3616857403,0.4905711379)	(0.3296089107,0.5007658949)	(0.2962977014,0.5088159237)	(0.2622024772,0.5147783265)	(0.2275906572,0.5193154265)
	(0.1923738229,0.5213411872)	(0.1567243432,0.5215026469)	(0.1208209286,0.519782421)	(0.084773496,0.5153117413)	(0.04871527919,0.5093030357)
	(0.01290577806,0.5007388877)	(-0.02268360407,0.4899720424)	(-0.05783947159,0.4775630684)	(-0.09220711566,0.4626990844)	(-0.1258825281,0.4459021077)
	(-0.1585347593,0.4269802422)	(-0.1901314101,0.406235081)	(-0.2204704619,0.3837648379)	(-0.2494522086,0.3594681624)	(-0.276821615,0.3335490609)
	(-0.3025997014,0.3061047683)	(-0.3266176001,0.2773466264)	(-0.3483840986,0.2470482032)	(-0.3684363957,0.2159254576)	(-0.3865368475,0.1839872558)
	(-0.4021434348,0.1510717243)	(-0.4156128041,0.1176411429)	(-0.4266960065,0.08373188048)	(-0.4353639972,0.04956150346)	(-0.4416286882,0.01531681216)
	(-0.445685189,-0.01878603505)	(-0.4467764689,-0.05277240912)	(-0.4458534641,-0.08617230953)	(-0.4424700909,-0.1190026995)	(-0.4359657065,-0.1508907791)
	(-0.4279187986,-0.1819292042)	(-0.4172561727,-0.211733916)	(-0.4045415852,-0.2402873127)	(-0.3894116988,-0.2672901934)	(-0.3725296155,-0.2928180824)
	(-0.353235397,-0.3163092405)	(-0.3324738453,-0.3381480522)	(-0.3099119912,-0.3579501195)	(-0.2859012957,-0.3757488752)	(-0.2604351399,-0.3913646486)
	(-0.233509244,-0.4044712113)	(-0.2055899011,-0.4153778239)	(-0.1767587114,-0.4239367877)	(-0.1471510883,-0.4300613037)	(-0.1170162731,-0.4339338667)
	(-0.08628897061,-0.4345314097)	(-0.05544990999,-0.4335498872)	(-0.02454990234,-0.4297111109)	(0.006257453197,-0.4237493971)	(0.03669193871,-0.4150913449)
	(0.0666924443,-0.4042040472)	(0.09607584522,-0.391356362)	(0.1246317983,-0.376142625)	(0.1520268812,-0.3586419943)	(0.1785713025,-0.3396631136)
	(0.2035434958,-0.3184725212)	(0.2273500309,-0.2959147328)	(0.2495168349,-0.2716327924)	(0.2699412446,-0.2459345851)	(0.2885917938,-0.2189756654)
	(0.3055008285,-0.1910178708)	(0.3204729217,-0.162136777)	(0.3330690852,-0.1323229065)	(0.3440670621,-0.1021326088)	(0.3524975116,-0.07135931409)
	(0.3590926885,-0.04045247399)	(0.3631866854,-0.009415791318)	(0.3655082039,0.02144456363)	(0.3652086865,0.0520760696)	(0.3629472109,0.08222920005)
	(0.3586573486,0.1117937487)	(0.3522341589,0.1405877863)	(0.3436159917,0.1684220118)	(0.3334200276,0.1953400568)	(0.3205178379,0.2206407275)
	(0.3066565293,0.2450741152)	(0.2908462354,0.2678736923)	(0.2732159565,0.2889421389)	(0.2544919218,0.3086580031)	(0.2341624323,0.3263875972)
	(0.1902117092,0.3565392156)	(0.1668022993,0.3688221566)	(0.1424864101,0.3789425325)	(0.1176582053,0.3874256004)	(0.09220773394,0.3936732292)
	(0.06635654364,0.3976878445)	(0.04035211855,0.4001476668)	(0.01422980515,0.4002594564)	(-0.01183996023,0.3983133021)	(-0.03772165527,0.3949676069)
	(-0.06324294135,0.3895804236)	(-0.08834879641,0.3822771917)	(-0.1128537085,0.3732373084)	(-0.1368103255,0.3629194017)	(-0.1597949796,0.3506016338)
	(-0.1821373006,0.3372597383)	(-0.2033819884,0.3223796662)	(-0.2236843433,0.3063672532)	(-0.2426758779,0.2889546071)	(-0.2607167067,0.2707962278)
	(-0.2774491683,0.2516493839)	(-0.2930734419,0.2318536414)	(-0.307229219,0.211240483)	(-0.3202888369,0.1902417754)	(-0.3317026215,0.1685923574)
	(-0.3421498665,0.1468552146)	(-0.351113272,0.1247997551)	(-0.3591321298,0.1028011409)	(-0.3651719589,0.08056438806)	(-0.3707377575,0.05865805036)
	(-0.3745659262,0.03682188376)	(-0.3775538666,0.01536314719)	(-0.3796409944,-0.005697820934)	(-0.3802532875,-0.02637230833)	(-0.3802400218,-0.04650766979)
	(-0.3790595185,-0.06607121404)	(-0.3772439095,-0.08498079458)	(-0.3746126092,-0.1032204038)	(-0.3713410167,-0.1207469865)	(-0.3676814937,-0.1375429912)
	(-0.3629619033,-0.1534622303)	(-0.3583087499,-0.168678786)	(-0.3530450042,-0.1830298103)	(-0.3474380093,-0.1965767901)	(-0.3418279976,-0.2093722643)
	(-0.3358605355,-0.221248427)	(-0.3299753278,-0.2324022985)	(-0.3239555862,-0.2426853963)	(-0.3178750734,-0.2521302977)	(-0.3120349518,-0.2608728355)
	(-0.3061165423,-0.2687354017)	(-0.3008627717,-0.2762123591)	(-0.295456518,-0.2826570219)	(-0.2904670406,-0.2885199129)	(-0.2858944851,-0.2938299616)
	(-0.2814990784,-0.2983568229)	(-0.2775430013,-0.3023167902)	(-0.2739686218,-0.3057016284)	(-0.2707604597,-0.3084742964)	(-0.2680313643,-0.3107480648)
	(-0.2658662704,-0.3126125684)	(-0.2637023095,-0.3135892457)	(-0.2623654116,-0.3144023135)	(-0.2614590953,-0.3147396961)	(-0.2607787333,-0.3144543641)
	(-0.2606599388,-0.3138275918)	(-0.2609517336,-0.3127422959)	(-0.2615450231,-0.3111726149)	(-0.2624997404,-0.3091581382)	(-0.2637589481,-0.3067160607)
	(-0.2656059833,-0.3040251192)	(-0.2675419752,-0.3007622963)	(-0.2696452387,-0.2970345517)	(-0.2720977123,-0.2929633759)	(-0.2747064986,-0.2884529013)
	(-0.2777772411,-0.2837253701)	(-0.2808442165,-0.2784925008)	(-0.283961811,-0.2728872656)	(-0.2869753103,-0.2666457722)	(-0.2906288805,-0.2605290077)
	(-0.2937863872,-0.2536614574)	(-0.2971155043,-0.2465513182)	(-0.3003409035,-0.2390907218)	(-0.3036703596,-0.2313607728)	(-0.3069435102,-0.2233451083)
	(-0.3097553489,-0.2148567943)	(-0.3126640077,-0.2062321195)	(-0.3154485475,-0.1973425332)	(-0.3179502519,-0.1881920102)	(-0.3202874221,-0.1788660496)
	(-0.3225116724,-0.1693533749)	(-0.3242748718,-0.15965305)	(-0.326074486,-0.1498700229)	(-0.3276600383,-0.1400219082)	(-0.3285285036,-0.1299731935)
	(-0.3293260298,-0.1199847392)	(-0.3302081308,-0.1100065387)	(-0.3306223168,-0.100012596)	(-0.3305770109,-0.0900971639)	(-0.3304167414,-0.08029835804)
	(-0.3300396051,-0.07063003806)	(-0.3293815102,-0.06114647168)	(-0.3287328796,-0.05181608357)	(-0.3277894793,-0.04270634814)	(-0.3265027565,-0.03390979712)
	(-0.3252651889,-0.02535895925)	(-0.3239394084,-0.01714904761)	(-0.3221020871,-0.009327826109)	(-0.3203606934,-0.001873830165)	(-0.3189240392,0.005259046421)
	(-0.3169455845,0.01186470559)	(-0.3152590064,0.01808934226)	(-0.3135224893,0.02387292805)	(-0.3116355425,0.02907121293)	(-0.309936188,0.033834772)
	(-0.3082458046,0.03804090525)	(-0.306867731,0.04181704843)	(-0.305378934,0.04499695358)	(-0.3039781844,0.0475896602)	(-0.3028275102,0.04970194183)
	(-0.301795271,0.0512447165)	(-0.2790414322,0.9602790631)	(-0.2651854949,0.9641974141)	(-0.2421210532,0.970246049)	(-0.2099174733,0.9777191081)
	(-0.1687213559,0.9856637885)	(-0.1187993992,0.992918276)	(-0.06058434802,0.9981630813)	(0.005282176486,0.9999860492)	(0.07791664302,0.9969598772)
	(0.1561767879,0.9877291182)	(0.2386663142,0.9711016376)	(0.323764451,0.9461377174)	(0.4096809653,0.9122288675)	(0.4945340521,0.8691582545)
	(0.5764453442,0.8171357079)	(0.5764453439,0.8171357082)	(0.4945340514,0.8691582549)	(0.409680964,0.9122288681)	(0.3237644493,0.946137718)
	(0.2386663119,0.9711016381)	(0.1561767849,0.9877291187)	(0.07791663972,0.9969598775)	(0.005282172824,0.9999860492)	(-0.06058435093,0.9981630811)
	(-0.1187994013,0.9929182757)	(-0.1687213575,0.9856637883)	(-0.2099174742,0.9777191079)	(-0.2421210537,0.9702460489)	(-0.2651854951,0.964197414)
	(-0.2790414322,0.9602790631)	(0.7248550704,0.6889013913)	(0.7891858909,0.6141544021)	(0.8458942507,0.5333506507)	(0.8943781228,0.4473117184)
	(0.9341443353,0.3568954481)	(0.9647970251,0.262995628)	(0.9860345737,0.1665407439)	(0.9976515212,0.0684941044)	(0.9995456508,-0.0301411995)
	(0.9917347422,-0.1283051094)	(0.9743975449,-0.2248319917)	(0.9479866161,-0.318310188)	(0.9135939579,-0.4066276922)	(0.8743908497,-0.4852222605)
	(0.8407754581,-0.5413839941)	(0.8241368529,-0.5663907199)	(0.8220453066,-0.5694220877)	(0.8282640032,-0.5603380596)	(0.8386152899,-0.5447241463)
	(0.8504832987,-0.526002052)	(0.861901474,-0.5070757825)	(0.8707319562,-0.4917579287)	(0.8729008175,-0.4878976971)	(0.8699293027,-0.4931764474)
	(0.8689888514,-0.4948316645)	(0.867049651,-0.4982217404)	(0.858673187,-0.5125235193)	(0.8311858931,-0.5559946142)	(0.777324105,-0.6291003384)
	(0.7116106389,-0.702574052)	(0.6399295776,-0.7684335598)	(0.5633348219,-0.8262287083)	(0.4824773546,-0.875908444)	(0.3979707192,-0.9173981179)
	(0.3104214747,-0.9505990259)	(0.2204140478,-0.9754064012)	(0.1284647751,-0.9917140725)	(0.0347746545,-0.9993951788)	(-0.06021005376,-0.9981857289)
	(-0.1548374485,-0.98793996)	(-0.2473722013,-0.9689205303)	(-0.3357527782,-0.941950143)	(-0.4173586697,-0.908741845)	(-0.4888720573,-0.8723554961)
	(-0.5471817367,-0.8370138273)	(-0.5908112357,-0.8068098188)	(-0.6231937613,-0.7820674753)	(-0.6482669535,-0.7614131316)	(-0.6687427774,-0.7434938451)
	(-0.6864976536,-0.727132018)	(-0.7029283203,-0.7112606952)	(-0.7191897713,-0.6948136965)	(-0.7363587128,-0.6765913435)	(-0.8162666029,-0.5776753699)
	(-0.8690734355,-0.4946830943)	(-0.9134708707,-0.4069041269)	(-0.9490293065,-0.3151878414)	(-0.9754046697,-0.2204217104)	(-0.9923417447,-0.1235227173)
	(-0.9996766438,-0.02542848395)	(-0.9973383924,0.07291180256)	(-0.9853496162,0.1705465741)	(-0.9638263217,0.2665310893)	(-0.9329767745,0.3599365753)
	(-0.8930994834,0.4498592144)	(-0.8445803122,0.5354288901)	(-0.7878887459,0.6158176062)	(-0.723573348,0.6902474992)	(-0.6522564522,0.7579983645)
	(-0.5746281408,0.8184146258)	(-0.491439567,0.8709116786)	(-0.4034956866,0.9149815468)	(-0.3116474692,0.9501977978)	(-0.2167836639,0.9762196695)
	(-0.1198221993,0.9927953669)	(-0.02170130154,0.999764499)	(0.07662958403,0.9970596305)	(0.1742189803,0.9847069345)	(0.2701225851,0.9628259391)
	(0.3634124083,0.9316283709)	(0.4531857515,0.8914161063)	(0.5385739428,0.8425782505)	(0.6187507421,0.7855873721)	(0.6929403364,0.7209949308)
	(0.7604248464,0.6494259412)	(0.8205512731,0.5715729247)	(0.9121509691,0.4098543762)	(0.944549915,0.3283678701)	(0.9696855157,0.2443562985)
	(0.9873644845,0.1584656897)	(0.9974508744,0.07135652169)	(0.999867124,-0.01630135915)	(0.9945946529,-0.1038338885)	(0.9816740047,-0.1905679629)
	(0.9816740047,-0.1905679629)	(0.9816740047,-0.1905679629)	(0.9816740047,-0.1905679629)	(0.9816740047,-0.1905679629)	(0.9816740047,-0.1905679629)
	(0.9816740047,-0.1905679629)	(0.964878789,-0.2626954939)	(0.9427917342,-0.3333822821)	(0.9155339758,-0.4022406484)	(0.8832550079,-0.468892942)
	(0.8461318633,-0.532973611)	(0.8043681422,-0.5941312075)	(0.7581928963,-0.6520303152)	(0.7078593718,-0.7063533887)	(0.6536436209,-0.7568024953)
	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.5881881889,-0.8087240904)
	(0.5165471746,-0.8562587322)	(0.4398672813,-0.89806279)	(0.3591547275,-0.9332780302)	(0.2753918353,-0.9613320639)	(0.1895912066,-0.9818631139)
	(0.1028391332,-0.9946980007)	(0.01636099458,-0.99986615)	(-0.06833591607,-0.997662369)	(-0.149077834,-0.9888254646)	(-0.2217372126,-0.9751064601)
	(-0.2746716615,-0.9615380795)	(-0.274671659,-0.9615380802)	(-0.2217372085,-0.975106461)	(-0.1490778299,-0.9888254652)	(-0.06833591214,-0.9976623693)
	(0.01636099817,-0.9998661499)	(0.1028391363,-0.9946980004)	(0.1895912092,-0.9818631134)	(0.2753918374,-0.9613320633)	(0.3591547291,-0.9332780296)
	(0.4398672823,-0.8980627895)	(0.5165471752,-0.8562587318)	(0.5881881891,-0.8087240902)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)
	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)
	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.6536436209,-0.7568024953)	(0.7078593718,-0.7063533887)	(0.7581928963,-0.6520303152)
	(0.8043681422,-0.5941312075)	(0.8461318633,-0.532973611)	(0.8832550079,-0.468892942)	(0.9155339758,-0.4022406484)	(0.9427917342,-0.3333822821)
	(0.964878789,-0.2626954939)	(0.9816740047,-0.1905679629)	(0.9816740047,-0.1905679629)	(0.995711837,-0.09250912202)	(0.9999791503,0.006457473575)
	(0.9944340712,0.1053607046)	(0.9791310113,0.2032300735)	(0.9542201333,0.2991052275)	(0.9199458778,0.3920453825)	(0.8766445641,0.4811385542)
	(0.8247410905,0.5655105071)	(0.764744765,0.6443333333)	(0.6972443073,0.7168335762)	(0.6229020722,0.78229982)	(0.5424475501,0.840089671)
	(0.4566702088,0.8896360606)	(0.3664117467,0.9304528101)	(0.2725578339,0.9621394011)	(0.1760294209,0.9843849059)	(0.07777370207,0.9969710383)
	(-0.02124517872,0.9997742957)	(-0.1200555891,0.9927671708)	(-0.2176879424,0.9760184218)	(-0.3131842117,0.9496923973)	(-0.4056073305,0.9140474241)
	(-0.494050388,0.8694332718)	(-0.5776455282,0.8162877212)	(-0.6555724655,0.7551322682)	(-0.7270665345,0.6865670065)	(-0.7914261926,0.6112647395)
	(-0.8480199043,0.5299643779)	(-0.8962923386,0.4434636894)	(-0.9357698172,0.3526114705)	(-0.9660649638,0.2582992173)	(-0.9868805042,0.161452378)
