18732	
	(2.655740205e-35,-2.054120882e-35)	(9.462402036e-36,-1.124288228e-35)	(-7.819599834e-38,1.543985528e-36)	(2.674835087e-36,-1.666567351e-36)	(-1.598149566e-36,-7.391755795e-39)
	(-1.758744437e-36,-9.316708922e-38)	(-2.755924162e-37,-1.894807852e-37)	(2.321950925e-37,9.948816018e-38)	(-3.504361027e-37,1.989718943e-37)	(-3.745596607e-37,1.269426824e-37)
	(-1.586928773e-38,9.619363523e-39)	(4.248456263e-38,-1.825085509e-38)	(-1.564517358e-38,1.284987683e-38)	(-3.569605232e-38,-4.396462032e-40)	(-6.806670152e-38,4.032998436e-39)
	(-4.196061422e-39,-5.458410174e-39)	(-9.279436123e-39,3.147267471e-39)	(-9.348458118e-39,2.4479043e-39)	(3.65978245e-39,1.152459366e-39)	(-4.773613859e-40,1.577840025e-39)
	(3.858486692e-40,3.108700691e-40)	(-3.832060961e-40,1.446484928e-39)	(-8.648667501e-40,-5.53365222e-41)	(2.075673178e-40,1.737550239e-40)	(-8.37389192e-40,4.736500622e-40)
	(3.443301374e-40,-2.590266211e-40)	(2.044772158e-39,-1.616764152e-39)	(-1.556846109e-39,2.036026777e-39)	(2.24097986e-39,-1.432704473e-39)	(8.858270607e-39,-6.539593148e-39)
	(-9.445902724e-40,-6.636757241e-40)	(8.427819933e-40,-3.277928407e-39)	(1.50560614e-38,-1.199931549e-38)	(-1.161060375e-38,9.371880231e-39)	(-3.390946822e-38,2.755781032e-38)
	(1.084276768e-38,-9.281416175e-39)	(3.637894046e-38,-2.8872355e-38)	(2.591100305e-38,-1.857473697e-38)	(3.244988127e-38,-2.111452385e-38)	(-1.144151481e-38,2.211023038e-38)
	(3.48685219e-39,4.227846936e-38)	(-1.137772101e-37,1.386412474e-37)	(2.548540428e-38,2.344330169e-38)	(5.749299923e-37,-4.440218317e-37)	(-5.100303276e-36,3.014533874e-36)
	(1.358366541e-35,-7.757383535e-36)	(4.375590982e-36,-2.600787899e-36)	(-3.645356287e-35,2.080165789e-35)	(-2.594406021e-35,1.53341303e-35)	(-1.481494204e-35,8.608233696e-36)
	(2.406971603e-35,-4.42064004e-36)	(-3.222519218e-35,5.575488436e-36)	(4.468018235e-35,-6.853221367e-36)	(-6.815980132e-35,2.241873784e-36)	(-8.369195901e-35,7.074791895e-36)
